name,type,registration_number,accredited,location
University of Pretoria,university,UP-2024-0001,True,Pretoria
University of Pretoria,university,UP-2024-0002,True,Pretoria
University of Pretoria,university,UP-2024-0003,True,Pretoria
University of Pretoria,university,UP-2024-0004,True,Pretoria
University of Pretoria,university,UP-2024-0005,True,Pretoria
University of Pretoria,university,UP-2024-0006,True,Pretoria
University of Pretoria,university,UP-2024-0007,True,Pretoria
University of Pretoria,university,UP-2024-0008,True,Pretoria
University of Pretoria,university,UP-2024-0009,True,Pretoria
University of Pretoria,university,UP-2024-0010,True,Pretoria
University of Pretoria,university,UP-2024-0011,True,Pretoria
University of Pretoria,university,UP-2024-0012,True,Pretoria
University of Pretoria,university,UP-2024-0013,True,Pretoria
University of Pretoria,university,UP-2024-0014,True,Pretoria
University of Pretoria,university,UP-2024-0015,True,Pretoria
University of Pretoria,university,UP-2024-0016,True,Pretoria
University of Pretoria,university,UP-2024-0017,True,Pretoria
University of Pretoria,university,UP-2024-0018,True,Pretoria
University of Pretoria,university,UP-2024-0019,True,Pretoria
University of Pretoria,university,UP-2024-0020,True,Pretoria
University of Pretoria,university,UP-2024-0021,True,Pretoria
University of Pretoria,university,UP-2024-0022,True,Pretoria
University of Pretoria,university,UP-2024-0023,True,Pretoria
University of Pretoria,university,UP-2024-0024,True,Pretoria
University of Pretoria,university,UP-2024-0025,True,Pretoria
University of Pretoria,university,UP-2024-0026,True,Pretoria
University of Pretoria,university,UP-2024-0027,True,Pretoria
University of Pretoria,university,UP-2024-0028,True,Pretoria
University of Pretoria,university,UP-2024-0029,True,Pretoria
University of Pretoria,university,UP-2024-0030,True,Pretoria
University of Pretoria,university,UP-2024-0031,True,Pretoria
University of Pretoria,university,UP-2024-0032,True,Pretoria
University of Pretoria,university,UP-2024-0033,True,Pretoria
University of Pretoria,university,UP-2024-0034,True,Pretoria
University of Pretoria,university,UP-2024-0035,True,Pretoria
University of Pretoria,university,UP-2024-0036,True,Pretoria
University of Pretoria,university,UP-2024-0037,True,Pretoria
University of Pretoria,university,UP-2024-0038,True,Pretoria
University of Pretoria,university,UP-2024-0039,True,Pretoria
University of Pretoria,university,UP-2024-0040,True,Pretoria
University of Pretoria,university,UP-2024-0041,True,Pretoria
University of Pretoria,university,UP-2024-0042,True,Pretoria
University of Pretoria,university,UP-2024-0043,True,Pretoria
University of Pretoria,university,UP-2024-0044,True,Pretoria
University of Pretoria,university,UP-2024-0045,True,Pretoria
University of Pretoria,university,UP-2024-0046,True,Pretoria
University of Pretoria,university,UP-2024-0047,True,Pretoria
University of Pretoria,university,UP-2024-0048,True,Pretoria
University of Pretoria,university,UP-2024-0049,True,Pretoria
University of Pretoria,university,UP-2024-0050,True,Pretoria
University of Pretoria,university,UP-2024-0051,True,Pretoria
University of Pretoria,university,UP-2024-0052,True,Pretoria
University of Pretoria,university,UP-2024-0053,True,Pretoria
University of Pretoria,university,UP-2024-0054,True,Pretoria
University of Pretoria,university,UP-2024-0055,True,Pretoria
University of Pretoria,university,UP-2024-0056,True,Pretoria
University of Pretoria,university,UP-2024-0057,True,Pretoria
University of Pretoria,university,UP-2024-0058,True,Pretoria
University of Pretoria,university,UP-2024-0059,True,Pretoria
University of Pretoria,university,UP-2024-0060,True,Pretoria
University of Pretoria,university,UP-2024-0061,True,Pretoria
University of Pretoria,university,UP-2024-0062,True,Pretoria
University of Pretoria,university,UP-2024-0063,True,Pretoria
University of Pretoria,university,UP-2024-0064,True,Pretoria
University of Pretoria,university,UP-2024-0065,True,Pretoria
University of Pretoria,university,UP-2024-0066,True,Pretoria
University of Pretoria,university,UP-2024-0067,True,Pretoria
University of Pretoria,university,UP-2024-0068,True,Pretoria
University of Pretoria,university,UP-2024-0069,True,Pretoria
University of Pretoria,university,UP-2024-0070,True,Pretoria
University of Pretoria,university,UP-2024-0071,True,Pretoria
University of Pretoria,university,UP-2024-0072,True,Pretoria
University of Pretoria,university,UP-2024-0073,True,Pretoria
University of Pretoria,university,UP-2024-0074,True,Pretoria
University of Pretoria,university,UP-2024-0075,True,Pretoria
University of Pretoria,university,UP-2024-0076,True,Pretoria
University of Pretoria,university,UP-2024-0077,True,Pretoria
University of Pretoria,university,UP-2024-0078,True,Pretoria
University of Pretoria,university,UP-2024-0079,True,Pretoria
University of Pretoria,university,UP-2024-0080,True,Pretoria
University of Pretoria,university,UP-2024-0081,True,Pretoria
University of Pretoria,university,UP-2024-0082,True,Pretoria
University of Pretoria,university,UP-2024-0083,True,Pretoria
University of Pretoria,university,UP-2024-0084,True,Pretoria
University of Pretoria,university,UP-2024-0085,True,Pretoria
University of Pretoria,university,UP-2024-0086,True,Pretoria
University of Pretoria,university,UP-2024-0087,True,Pretoria
University of Pretoria,university,UP-2024-0088,True,Pretoria
University of Pretoria,university,UP-2024-0089,True,Pretoria
University of Pretoria,university,UP-2024-0090,True,Pretoria
University of Pretoria,university,UP-2024-0091,True,Pretoria
University of Pretoria,university,UP-2024-0092,True,Pretoria
University of Pretoria,university,UP-2024-0093,True,Pretoria
University of Pretoria,university,UP-2024-0094,True,Pretoria
University of Pretoria,university,UP-2024-0095,True,Pretoria
University of Pretoria,university,UP-2024-0096,True,Pretoria
University of Pretoria,university,UP-2024-0097,True,Pretoria
University of Pretoria,university,UP-2024-0098,True,Pretoria
University of Pretoria,university,UP-2024-0099,True,Pretoria
University of Pretoria,university,UP-2024-0100,True,Pretoria
